experiment,graph_type,label,nodes,edges,k,k_bfs_diameter,k_bfs_time,k_bfs_pre_time,k_bfs_search_time,k_bfs_bfs_passes,k_bfs_vertex_visits,k_bfs_edge_checks,k_bfs_peak_mb,tk_diameter,tk_time,tk_pre_time,tk_search_time,tk_bfs_passes,tk_vertex_visits,tk_edge_checks,tk_iterations,tk_peak_mb,exact_diameter,k_bfs_abs_error,tk_abs_error,density
core_types,random_sparse,n=50,50,28,1,0,0.0002901510160882026,9.546501678414643e-05,0.00014967098832130432,2,2,0,0.00274658203125,0,8.07309988886118e-05,3.4216034691780806e-05,2.0055013010278344e-05,1,1,0,1,0.001922607421875,9,9,9,0.022857142857142857
core_types,random_sparse,n=50,50,28,2,0,0.00019455800065770745,6.556400330737233e-05,9.913198300637305e-05,2,4,0,0.0027923583984375,0,6.759297684766352e-05,3.772400668822229e-05,1.1597992852330208e-05,1,1,0,1,0.001922607421875,9,9,9,0.022857142857142857
core_types,random_sparse,n=50,50,28,3,9,0.0007859100005589426,5.19840104971081e-05,0.0007003129867371172,2,73,134,0.00311279296875,0,5.332200089469552e-05,2.691699774004519e-05,8.303002687171102e-06,1,1,0,1,0.001922607421875,9,0,9,0.022857142857142857
core_types,random_sparse,n=100,100,158,1,0,0.00020244900952093303,5.950999911874533e-05,0.00010510702850297093,2,2,0,0.00510406494140625,8,0.009836629003984854,0.0010145250125788152,0.008203865902032703,37,3552,11618,37,0.0045928955078125,8,8,0,0.03191919191919192
core_types,random_sparse,n=100,100,158,2,7,0.00187563500367105,7.603800622746348e-05,0.0017622319865040481,2,330,1068,0.00623321533203125,8,0.004621210013283417,0.0004940510261803865,0.0038475669571198523,37,3552,11618,37,0.0045928955078125,8,1,0,0.03191919191919192
core_types,random_sparse,n=100,100,158,3,8,0.0016891679842956364,5.7124998420476913e-05,0.0016134530014824122,2,410,1345,0.00634002685546875,8,0.0034964839869644493,0.0003857421106658876,0.002916911995271221,37,3552,11618,37,0.0045928955078125,8,0,0,0.03191919191919192
core_types,random_sparse,n=150,150,346,1,7,0.0014392049924936146,5.7307013776153326e-05,0.0013527990086004138,2,294,1384,0.00894927978515625,7,0.008345567010110244,0.0004355799173936248,0.007731187040917575,35,5145,24220,35,0.006622314453125,7,0,0,0.030961968680089484
core_types,random_sparse,n=150,150,346,2,7,0.0016408069932367653,4.8151996452361345e-05,0.0015720049850642681,2,486,2258,0.00933074951171875,7,0.007910890999482945,0.000397802097722888,0.007348800922045484,35,5145,24220,35,0.006622314453125,7,0,0,0.030961968680089484
core_types,random_sparse,n=150,150,346,3,7,0.0031052590056788176,3.0424969736486673e-05,0.003055374982068315,2,658,3118,0.00952911376953125,7,0.007940020994283259,0.00039796705823391676,0.0073741821106523275,35,5145,24220,35,0.006622314453125,7,0,0,0.030961968680089484
core_types,dense,n=50,50,740,1,2,0.0016347400087397546,2.79009691439569e-05,0.0015937929856590927,2,100,2960,0.00336456298828125,2,0.02202190802199766,0.0002663509512785822,0.021564421913353726,50,2500,74000,50,0.0025634765625,2,0,0,0.6040816326530613
core_types,dense,n=50,50,740,2,2,0.0024925309990067035,2.9243965400382876e-05,0.0024508189817424864,2,147,4324,0.00344085693359375,2,0.021969383000396192,0.00026955505018122494,0.021508647012524307,50,2500,74000,50,0.0025634765625,2,0,0,0.6040816326530613
core_types,dense,n=50,50,740,3,2,0.0031945410009939224,1.9914034055545926e-05,0.0031631090096198022,2,175,5170,0.00370025634765625,2,0.02188202500110492,0.00026885891566053033,0.02141850025509484,50,2500,74000,50,0.0025634765625,2,0,0,0.6040816326530613
core_types,dense,n=100,100,2975,1,2,0.007922693999717012,2.8786977054551244e-05,0.007855920004658401,2,200,11900,0.00618743896484375,2,0.20310868599335663,0.0008004837145563215,0.20181812706869096,100,10000,595000,100,0.0045928955078125,2,0,0,0.601010101010101
core_types,dense,n=100,100,2975,2,2,0.010911803023191169,5.313300061970949e-05,0.010831728985067457,2,304,18077,0.00650787353515625,2,0.1937687099853065,0.0007466031238436699,0.192584007862024,100,10000,595000,100,0.0045928955078125,2,0,0,0.601010101010101
core_types,dense,n=100,100,2975,3,2,0.012697151978500187,4.580797394737601e-05,0.012633423029910773,2,344,20447,0.00662994384765625,2,0.19423467401065864,0.0007514771132264286,0.19304638289031573,100,10000,595000,100,0.0045928955078125,2,0,0,0.601010101010101
core_types,dense,n=150,150,6669,1,2,0.029055588005576283,7.282302249222994e-05,0.02893494098680094,2,300,26676,0.00913238525390625,2,0.6632033629866783,0.001467770925955847,0.6609547959815245,150,22500,2000700,150,0.006622314453125,2,0,0,0.5967785234899329
core_types,dense,n=150,150,6669,2,2,0.022574914008146152,5.353297456167638e-05,0.022497282014228404,2,421,37356,0.00945281982421875,2,0.6603868090023752,0.001457018923247233,0.6581665951816831,150,22500,2000700,150,0.006622314453125,2,0,0,0.5967785234899329
core_types,dense,n=150,150,6669,3,2,0.028748598997481167,6.739600212313235e-05,0.02865574895986356,2,526,46771,0.00968170166015625,2,0.6585248589981347,0.0014599459245800972,0.6563066661183257,150,22500,2000700,150,0.006622314453125,2,0,0,0.5967785234899329
core_types,small_world,n=50,50,100,1,9,0.00028288798057474196,5.108400364406407e-05,0.00021718998323194683,2,100,400,0.00318145751953125,9,0.0002551869838498533,4.7420006012544036e-05,0.0001778639853000641,7,350,1400,7,0.00247955322265625,9,0,0,0.08163265306122448
core_types,small_world,n=50,50,100,2,9,0.0003607840044423938,2.0556006347760558e-05,0.00032856801408343017,2,156,622,0.00325775146484375,9,0.00024855899391695857,4.708804772235453e-05,0.00017416197806596756,7,350,1400,7,0.00247955322265625,9,0,0,0.08163265306122448
core_types,small_world,n=50,50,100,3,9,0.0009949629893526435,1.8824997823685408e-05,0.0009645980026107281,2,243,978,0.00336456298828125,9,0.0002495399967301637,4.6409055357798934e-05,0.00017522196867503226,7,350,1400,7,0.00247955322265625,9,0,0,0.08163265306122448
core_types,small_world,n=100,100,200,1,9,0.0005279220058582723,2.4020991986617446e-05,0.0004884110239800066,2,200,800,0.00597381591796875,9,0.0033803220139816403,0.0002780428621917963,0.002967609849292785,32,3200,12800,32,0.0045928955078125,9,0,0,0.04040404040404041
core_types,small_world,n=100,100,200,2,9,0.001014911977108568,2.2521009668707848e-05,0.0009770829929038882,2,361,1447,0.00623321533203125,9,0.0034512400161474943,0.0002792889717966318,0.0030342151585500687,32,3200,12800,32,0.0045928955078125,9,0,0,0.04040404040404041
core_types,small_world,n=100,100,200,3,9,0.0017858130158856511,2.1956017008051276e-05,0.0017487620061729103,2,446,1777,0.00624847412109375,9,0.003366798016941175,0.00027629302348941565,0.0029550880717579275,32,3200,12800,32,0.0045928955078125,9,0,0,0.04040404040404041
core_types,small_world,n=150,150,300,1,11,0.0009202830260619521,2.7918023988604546e-05,0.0008734660223126411,2,300,1200,0.00876617431640625,11,0.010241201991448179,0.0005815109179820865,0.009420176036655903,52,7800,31200,52,0.0061187744140625,11,0,0,0.026845637583892617
core_types,small_world,n=150,150,300,2,11,0.0016920810157898813,4.035604069940746e-05,0.0016316150140482932,2,524,2095,0.00893402099609375,11,0.0101055380073376,0.0005836970813106745,0.009283456020057201,52,7800,31200,52,0.0061187744140625,11,0,0,0.026845637583892617
core_types,small_world,n=150,150,300,3,11,0.0035925600095652044,2.609402872622013e-05,0.0035478990175761282,2,727,2905,0.00913238525390625,11,0.010153091017855331,0.0005836549971718341,0.009331360983196646,52,7800,31200,52,0.0061187744140625,11,0,0,0.026845637583892617
core_types,scale_free,n=50,50,97,1,5,0.000234544015256688,4.872799036093056e-05,0.00017139999545179307,2,100,388,0.00324249267578125,5,0.0002828629803843796,5.208604852668941e-05,0.00019743197481147945,8,400,1552,8,0.00247955322265625,5,0,0,0.07918367346938776
core_types,scale_free,n=50,50,97,2,4,0.000261332985246554,1.960000372491777e-05,0.00023047500872053206,2,137,530,0.00337982177734375,5,0.00027819600654765964,5.2428978960961103e-05,0.00019508303375914693,8,400,1552,8,0.00247955322265625,5,1,0,0.07918367346938776
core_types,scale_free,n=50,50,97,3,5,0.0005851800087839365,1.8405000446364284e-05,0.0005563099985010922,2,192,757,0.00357818603515625,5,0.00027386299916543067,5.1947979955002666e-05,0.00019202203839085996,8,400,1552,8,0.00247955322265625,5,0,0,0.07918367346938776
core_types,scale_free,n=100,100,197,1,5,0.0004822679911740124,2.3867993149906397e-05,0.000443380034994334,2,200,788,0.00615692138671875,5,0.002288553980179131,0.00019426303333602846,0.0019996359769720584,22,2200,8668,22,0.0045928955078125,5,0,0,0.0397979797979798
core_types,scale_free,n=100,100,197,2,5,0.0008177889976650476,2.493898500688374e-05,0.0007770259690005332,2,314,1246,0.00629425048828125,5,0.0022898580064065754,0.00019505893578752875,0.002000039938138798,22,2200,8668,22,0.0045928955078125,5,0,0,0.0397979797979798
core_types,scale_free,n=100,100,197,3,5,0.0015126100042834878,2.2750988136976957e-05,0.0014743290084879845,2,423,1635,0.00643157958984375,5,0.0023237610002979636,0.0001949979632627219,0.002032069052802399,22,2200,8668,22,0.0045928955078125,5,0,0,0.0397979797979798
core_types,scale_free,n=150,150,297,1,5,0.0008204960031434894,3.1741015845909715e-05,0.0007689569902140647,2,300,1188,0.00913238525390625,6,0.007066663005389273,0.00040992998401634395,0.006481010059360415,36,5400,21384,36,0.006622314453125,6,1,0,0.02657718120805369
core_types,scale_free,n=150,150,297,2,5,0.001344033982604742,3.0240975320339203e-05,0.001294041983783245,2,475,1844,0.00923919677734375,6,0.007018615986453369,0.00041271408554166555,0.006432049063732848,36,5400,21384,36,0.006622314453125,6,1,0,0.02657718120805369
core_types,scale_free,n=150,150,297,3,6,0.0025439480086788535,3.071301034651697e-05,0.0024940229777712375,2,617,2437,0.00952911376953125,6,0.006979518017033115,0.0004103337705601007,0.006396098004188389,36,5400,21384,36,0.006622314453125,6,0,0,0.02657718120805369
core_types,tree,n=50,50,49,1,11,0.0002450179890729487,1.9925995729863644e-05,0.00021466403268277645,2,100,196,0.00318145751953125,11,0.00011045299470424652,2.4627952370792627e-05,7.209900650195777e-05,3,150,294,3,0.00241851806640625,11,0,0,0.04
core_types,tree,n=50,50,49,2,11,0.00033900098060257733,1.9724015146493912e-05,0.0003090810205321759,2,200,392,0.00328826904296875,11,0.00011142701259814203,2.4173961719498038e-05,7.451899000443518e-05,3,150,294,3,0.00241851806640625,11,0,0,0.04
core_types,tree,n=50,50,49,3,11,0.0006696000054944307,1.8893013475462794e-05,0.0006404530140571296,2,237,462,0.00336456298828125,11,0.00010297898552380502,2.237397711724043e-05,6.839999696239829e-05,3,150,294,3,0.00241851806640625,11,0,0,0.04
core_types,tree,n=100,100,99,1,13,0.00040084400097839534,2.1705025574192405e-05,0.0003655369800981134,2,200,396,0.00597381591796875,13,0.0006236869958229363,0.00010183791164308786,0.0004735490074381232,11,1100,2178,11,0.0045013427734375,13,0,0,0.02
core_types,tree,n=100,100,99,2,13,0.0005850100133102387,2.2015010472387075e-05,0.0005482890119310468,2,338,668,0.00623321533203125,13,0.0006345360015984625,0.00010265508899465203,0.0004838379973080009,11,1100,2178,11,0.0045013427734375,13,0,0,0.02
core_types,tree,n=100,100,99,3,13,0.001806435000617057,2.2957974579185247e-05,0.0017691409739200026,2,529,1046,0.00637054443359375,13,0.0006153659778647125,0.00010157606448046863,0.0004673019575420767,11,1100,2178,11,0.0045013427734375,13,0,0,0.02
core_types,tree,n=150,150,149,1,18,0.0006648319831583649,2.642799518071115e-05,0.0006184409721754491,2,300,596,0.00861358642578125,18,0.0002102110011037439,3.29230388160795e-05,0.00016170801245607436,2,300,596,2,0.0060882568359375,18,0,0,0.013333333333333334
core_types,tree,n=150,150,149,2,18,0.0012648850097320974,2.7622998459264636e-05,0.00121804402442649,2,586,1164,0.00884246826171875,18,0.00020708699594251812,3.30669863615185e-05,0.00015846299356780946,2,300,596,2,0.0060882568359375,18,0,0,0.013333333333333334
core_types,tree,n=150,150,149,3,18,0.0029542429838329554,2.847801079042256e-05,0.002908141032094136,2,716,1420,0.00897979736328125,18,0.0002079330151900649,3.2845971873030066e-05,0.0001600929826963693,2,300,596,2,0.0060882568359375,18,0,0,0.013333333333333334
size_sweep_sparse,random_sparse,n=50,50,36,1,1,8.917998638935387e-05,2.5546993128955364e-05,5.0959992222487926e-05,2,4,4,0.003082275390625,0,2.7089001378044486e-05,1.2156990123912692e-05,6.065994966775179e-06,1,1,0,1,0.0019683837890625,9,8,9,0.029387755102040815
size_sweep_sparse,random_sparse,n=50,50,36,2,9,0.00023846601834520698,1.9306025933474302e-05,0.00020877097267657518,2,93,209,0.00316619873046875,0,2.279499312862754e-05,1.1550000635907054e-05,3.8669968489557505e-06,1,1,0,1,0.0019683837890625,9,0,9,0.029387755102040815
size_sweep_sparse,random_sparse,n=50,50,36,3,9,0.000457391026429832,1.909103593789041e-05,0.0004272299993317574,2,134,301,0.00324249267578125,0,2.2377993445843458e-05,1.1042982805520296e-05,4.07799961976707e-06,1,1,0,1,0.0019683837890625,9,0,9,0.029387755102040815
size_sweep_sparse,random_sparse,n=100,100,158,1,8,0.0004104349936824292,2.32559978030622e-05,0.00037248400622047484,2,192,632,0.00600433349609375,0,2.7292990125715733e-05,1.5812955098226666e-05,3.7939753383398056e-06,1,1,0,1,0.00311279296875,8,0,8,0.03191919191919192
size_sweep_sparse,random_sparse,n=100,100,158,2,8,0.0007995920022949576,2.2917985916137695e-05,0.0007615729991812259,2,336,1110,0.00623321533203125,0,2.7789996238425374e-05,1.6192992916330695e-05,3.864988684654236e-06,1,1,0,1,0.00311279296875,8,0,8,0.03191919191919192
size_sweep_sparse,random_sparse,n=100,100,158,3,8,0.0014720640028826892,2.323096850886941e-05,0.00143269298132509,2,400,1298,0.00624847412109375,0,2.812300226651132e-05,1.5957019058987498e-05,3.961002221331e-06,1,1,0,1,0.00311279296875,8,0,8,0.03191919191919192
size_sweep_sparse,random_sparse,n=150,150,289,1,9,0.0008454220078419894,2.904798020608723e-05,0.0007978879730217159,2,296,1156,0.00894927978515625,9,0.00534084701212123,0.00032751410617493093,0.004881690896581858,28,4144,16184,28,0.0061187744140625,9,0,0,0.02586129753914989
size_sweep_sparse,random_sparse,n=150,150,289,2,9,0.0015770019963383675,2.95329955406487e-05,0.001528841006802395,2,531,2076,0.00911712646484375,9,0.0053330840019043535,0.00032631089561618865,0.0048757279582787305,28,4144,16184,28,0.0061187744140625,9,0,0,0.02586129753914989
